문제 번호,문제,보기 1,보기 2,보기 3,보기 4,보기 5,정답,해설
80,블록 경계 설정 시 활용되는 요인 중 '지역의 일체성'을 나타내는 항목과 그에 대한 설명으로 옳지 않은 것은?,지형적 일체성 - 지반고: 균일한 지반고는 균등 수압에 기여한다43.,"지형적 일체성 - 지형적 장벽: 하천, 간선도로, 철도 등은 블록 내 횡단을 피할 수 있게 한다43.",사회적 일체성 - 행정구역: 행정구역 경계를 활용하여 블록을 구분할 수 있다43.,"사회적 일체성 - 용지이용: 주택, 상업, 공업 지역 등 수요 특성의 유사성을 고려한다43.",관망의 일체성 - 연결 상태: 배수지관의 관로 연결은 항상 지역 분할에 유효하다43.,5,관망의 일체성 중 연결 상태는 배수지관의 관로 연결에 의해 지역 분할이 유효하지 않을 수 있음을 고려해야 한다43. '항상 유효하다'는 설명은 옳지 않다.
81,블록 시스템 내 상수도 관망 수리해석 결과 분석을 통해 도출할 수 있는 문제점이 아닌 것은?,이상수압 발생지점44.,수질 저하지점44.,정체구간44.,송수계통 급수구역11.,"손실수두 과대 구간(관내 유속 과대, 통수능 부족)44.",4,"송수계통 급수구역은 대블록 분할 기준에 해당하며11, 수리해석 결과로 도출되는 직접적인 문제점은 아니다. 수리해석은 주로 관망 내 수리적 거동 문제점을 분석한다44."
82,블록고립 확인을 위한 '수압측정 위치' 선정 시 소블록에서 측정해야 하는 지점은?,"유입지점, 임계지점, 평균수압지점45.","유입지점, 정수장 출구 지점, 관망 최저지점45.","임계지점, 배수지 출구 지점, 가장 먼 수용가 지점46.","유입지점, 대수용가 직접 공급 지점, 재해 발생 가능 지점1245.","임계지점, 평균수압지점, 가장 가까운 소화전 지점4647.",1,"계획된 소블록의 유입지점, 임계지점, 평균수압지점에서 수압을 측정한다45."
83,블록고립 확인 시 '수압계 로거'의 사용 목적이 아닌 것은?,장시간 동안의 수압패턴 분석45.,최대·최소 수압편차 분석45.,유량과의 관계 분석45.,밸브차단 완결성 여부 확인48.,누수량 산정49.,5,"수압계 로거는 수압패턴, 수압편차, 유량과의 관계 분석을 위해 사용된다45. 누수량 산정은 로거의 직접적인 사용 목적이 아니라, 다른 데이터와 함께 분석을 통해 이루어진다8. 밸브차단 완결성도 수압계로 확인 가능하다48."
84,블록 구축 후 블록 내 '유입지점 수압 측정'에 가장 적절한 방법은?,계획된 지점 인근의 배수본관에 연결된 소화전에 로거를 설치한다46.,상류측 배수본관에 연결된 소화전에 수압 측정 후 지반고 및 관로 연장을 고려하여 조정한다46.,구역유량계실에 설치되어 있는 수압계를 이용하여 측정한다46.,임계지점으로 선정된 수용가 인근에 설치된 소화전에 수압 측정한다46.,물 사용이 적은 수용가의 수도꼭지에 수압계를 설치한다46.,3,블록 구축 후 블록 내 유입지점 수압 측정은 구역유량계실에 설치되어 있는 수압계를 이용하는 것이 가장 적절하다46. 다른 보기들은 블록 구축 전이나 임계지점 측정 방법이다.
85,블록 내 '임계지점'에 대한 설명으로 옳은 것은?,블록 내 최대 수압이 발생하는 지점을 말한다46.,주로 고지대나 관로 종점부가 이에 해당된다46.,펌프시설 없이 직결로 급수되는 수용가(고층건물)의 최하층이 이에 해당될 수 있다46.,임계지점 측정을 위한 최우선 장소는 수도꼭지이다46.,임계지점은 주로 중블록 이상에서만 고려되는 지점이다46.,2,"임계지점(Critical Point)은 블록 내 '최소 수압'이 발생하는 지점이며46, 대체로 고지대나 관로 종점부, 펌프시설 없이 직결 급수되는 고층건물 최상층이 이에 해당된다46. 측정을 위한 최우선 장소는 소화전이다46."
86,블록고립 확인 시 수압측정을 위한 수도꼭지 설치 유의사항으로 옳지 않은 것은?,가급적 옥외에 있는 수도꼭지 또는 옥외 화장실 내 수도꼭지를 이용한다46.,수도꼭지를 분리한 후 지16ㅁ16을 결합하고 수압계 로거를 연결한다47.,고수압 또는 수압편차가 심한 지역에서는 고무패킹을 이용한 설치가 안전하다47.,"가정용 펌프 또는 탱크로부터 연결된 수도꼭지인지, 지하수와 혼용 사용되는지 확인해야 한다47.",데이터 로거의 도난과 파손을 방지하기 위해 자물쇠와 체인 등으로 묶고 포장해야 한다50.,3,"수도꼭지에 고무패킹을 이용하여 설치할 경우, 고수압 또는 수압편차가 심한 지역에서는 이탈될 우려가 있다47. 따라서 고무패킹을 이용한 설치가 안전하다는 설명은 옳지 않다."
87,블록고립 확인을 위한 '경계밸브 상태점검' 시 확인해야 할 사항이 아닌 것은?,"경계밸브의 접근성(매몰 여부, 맨홀 여부 등)48.","경계밸브의 작동 여부(밸브차단 완결성, 회전수, 회전 방향, 이물질 유입 등)48.",경계밸브의 설치 비용 및 유지보수 비용11.,밸브차단 완결성 시험을 통해 누수 여부를 판단48.,문제사항 확인 시 즉각 조치한다48.,3,"경계밸브의 설치 비용 및 유지보수 비용은 블록분할 계획 수립 시 고려사항이지만11, 경계밸브 상태점검 시 직접적으로 확인하는 사항은 아니다48."
88,블록고립 확인 시 '밸브차단 완결성 시험' 시 소화전을 이용하는 방법으로 옳지 않은 것은?,"두 개의 경계밸브 사이에 소화전이 있을 경우, 밸브를 차단하고 격리된 구간의 수압을 없애기 위해 소화전을 개방한다48.",소화전에서 물이 초기에 유출되면 밸브가 적절하게 자리 잡을 때까지 작업을 시도한다48.,밸브 작업 진행 동안 밸브에서 청음을 실시하지 않는다48.,"소화전에서 유출이 정지되면, 소화전에 수압계를 설치하여 5~10분간 수압을 측정한다48.",측정 수압을 확인하여 시험한 밸브의 차단 완결성 여부를 판단한다48.,3,밸브 작업을 진행하는 동안 '청음봉을 이용하여 밸브에서 청음'을 실시하여 밸브의 작동 상태를 확인한다48.
89,블록고립 확인 작업 시 '작업 시간 계획'에 대한 설명으로 가장 적절한 것은?,단수 민원 최소화를 위해 주간에 집중적으로 작업을 수행한다51.,"야간 최소유량 발생 시를 기준으로 전후 2시간(총 4시간) 정도로 계획하며, 대략 자정부터 새벽 4시로 한다51.",밸브 조작 개소가 많을수록 작업 시간을 단축하기 위해 투입 인원을 줄여야 한다51.,민원 처리반은 블록고립 확인 작업에 직접 참여하지 않으므로 인원 구성에 포함되지 않는다51.,작업 효율성을 위해 상황반은 현장 상황 기록을 다른 반에 맡긴다52.,2,"작업시간은 단수 민원을 최소화하기 위해 야간최소유량 발생 시를 기준으로 전후 2시간(전체 4시간 정도)으로 대략 자정부터 새벽 4시로 계획한다51. 밸브 조작 개소가 많아 작업 완료가 어려운 경우에는 투입 인원을 증가시킨다51. 민원 처리반은 기본 작업조에 포함되며51, 상황반은 현장 상황을 기록해야 한다52."
90,블록고립 확인 작업 실시 중 '경계밸브 조작반'의 주요 주의사항으로 옳지 않은 것은?,상황반의 지시에 따라 현장 상황을 기록해야 한다53.,밸브 차단 시 반드시 청음으로 밸브 차단의 완결성 여부를 확인해야 한다52.,"조작 시각, 회전수, 누수 여부 등을 상황반에 반드시 보고해야 한다52.",계통 내 적은 유량 분으로 청음이 어려운 경우 소화전을 개방하면 안 된다52.,"소화전 개방으로 인한 관로 내 침전물 교란, 탁수 발생 가능성을 고려해야 한다52.",4,"계통 내의 적은 유량 분으로 청음이 어려울 경우, 소화전을 개방하여 청음의 수준을 향상시킬 수 있으나, 이로 인한 문제점(탁수 발생 등)을 고려하여 신중하게 수행해야 한다52. '안 된다'는 표현은 옳지 않다."
91,블록고립 확인 작업 중 지형 여건에 따라 수압이 즉시 변동되지 않을 경우 '퇴수 실시'에 대한 주의사항으로 옳지 않은 것은?,필요시 퇴수를 실시한 후에 측정해야 한다52.,퇴수 시 계통 관로의 부분적으로 만관 흐름이 이루어지지 않는 현상을 방지해야 한다52.,역사이폰 및 관내 공기로 인한 탁수의 원인이 될 수 있으므로 수압이 0.5kgf/cm2 이하로 감소한 후에 퇴수를 중지해야 한다52.,수압이 0.5kgf/cm2 이하로 감소하기 전에 퇴수를 중지하여야 한다52.,퇴수는 블록 고립 여부 판단을 명확히 하기 위함이다52.,3,"역사이폰 및 관내 공기로 인한 탁수의 원인이 될 수 있으므로, 수압이 0.5kgf/cm2 이하로 감소하기 '전에' 퇴수를 중지해야 한다52."
92,블록고립 확인 이후에 경계밸브를 차단함으로써 발생할 수 있는 탁수로 인한 민원 등을 방지하기 위한 조치는?,유입밸브를 즉시 개방하여 통수를 실시한다54.,플러싱(Flushing)을 실시한다54.,문제의 원인이 되는 밸브를 교체하는 등 정비한다54.,민원처리반을 해산한다54.,블록고립이 확인된 경계밸브에는 별도의 표시를 하지 않는다54.,2,블록고립을 확인한 후 경계밸브를 차단함으로써 발생할 수 있는 탁수로 인한 민원 등을 방지하기 위해 플러싱을 실시한다54.
93,수질 관리를 위한 관망 운영 관리의 주요 중요 요소 3가지에 해당하지 않는 것은?,체류시간 최소화55.,유하방향 및 유속제어55.,양압력 유지55.,이물질 여과56.,수질모델링55.,4,"수질 관리를 위한 관망 운영 관리의 중요 요소는 체류시간 최소화, 유하방향 및 유속제어, 양압력 유지이다55. 이물질 여과는 정수 과정의 한 부분이며 관망 운영 관리의 주요 중요 요소로 직접 언급되지 않았다."
94,관망 내 '수체의 체류시간'과 관련된 설명으로 옳지 않은 것은?,수체의 물질이 분해되거나 관로 자재와의 상호작용에 의한 수질 문제는 체류시간과 비례하여 발생하는 경우가 많다55.,체류시간 증가는 잔류소독제 농도 증가를 유발할 수 있다38.,"체류시간 증가는 소독부산물 및 금속 부산물 농도 증가, 맛·냄새 발생을 유발할 수 있다38.",저수시설에서는 잔류염소 농도 감소에 따라 박테리아 성장 가능성이 증대될 수 있다38.,권장 수리적 체류시간은 5~7일 미만이다57.,2,체류시간 증가는 관망 내에서 '잔류소독제 농도 감소'를 유발한다38.
95,블록시스템 구축 및 운영 시 '물 순환 여건'을 고려해야 하는 주요 이유는?,물 순환 여건은 수압 안정화에만 영향을 미치므로 수질과는 무관하다57.,경계밸브가 닫힘에 따라 블록 운영 전보다 물 순환 여건이 나빠지기 때문이다57.,"블록 내 유입, 유출부의 유로를 5~7일 이상이 되도록 구성하기 위함이다57.",수리모델 이용 시 관망 내 유로분석은 물 순환 여건과 관계없다57.,블록 구축 계획 시 물 순환 여건은 고려 대상이 아니다57.,2,"블록시스템 구축 및 운영 시 경계밸브가 닫힘에 따라 블록 운영 전보다 물 순환 여건이 나빠지므로, 블록 구축 계획 시 반드시 물 순환 여건을 고려하여 적절한 위치에 경계밸브가 설치되도록 설계해야 한다57. 물 순환 여건은 체류시간에 영향을 미치고, 체류시간은 수질에 직접적인 영향을 준다3855."
96,관망에서 '양압력(Positive Pressure)'을 유지하는 것이 가장 중요한 운영 업무 중 하나인 이유로 옳은 것은?,압력이 음의 값이 되어도 오접합 지점에서 역류나 역사이폰이 발생하지 않기 때문이다58.,음압 발생 시 오염된 물이 상수도 관망으로 유입될 가능성이 없기 때문이다58.,관망 내 모든 구역에서 적절한 양압력 유지가 수질 안전성에 필수적이기 때문이다58.,양압력 유지는 펌프 고장 시 유속을 증가시켜 공급량을 늘리기 위함이다58.,플러싱 등의 유지관리 작업 시 유속 감소를 유발하여 수질을 안정화하기 위함이다58.,3,"압력이 음의 값이 되는 일이 지속적으로 발생하면 오접합 지점에서 역류나 역사이폰(Back-siphonage)이 발생하여 오염된 물이 상수도 관망으로 유입될 수 있으므로, 관망 내 모든 구역에서는 적절한 양압력 유지가 필수적이다58."
97,관망에서 유속이 크게 증가하여 압력 감소나 부압이 발생할 수 있는 상황이 아닌 것은?,밸브가 부분적으로 또는 완전히 폐쇄되었을 때58.,플러싱 등의 유지관리 작업이 이루어지고 있을 때58.,인근의 소방활동으로 인해 유속이 증가하였을 때58.,사용량이 최소일 때58.,대규모 배수관 파열로 인해 유속이 증가하였을 때58.,4,사용량이 최대일 때 유속이 크게 증가하여 압력 감소나 부압이 발생할 수 있다58. 사용량이 최소일 때는 유속이 감소하는 경향이 있다.
